method,params,verdict,confidence,mean_E_corr,dd_score_orig,dd_score_comp,neg_trace_orig,neg_trace_comp
magnitude_pruning,"{""sparsity"": 0.3}",DERIVED,0.9822446911609907,0.9822446911609907,1.1681067362469646,1.157949420556554,1.0,1.0
magnitude_pruning,"{""sparsity"": 0.5}",DERIVED,0.9120700950199133,0.9120700950199133,1.1681067362469646,1.0730498017333416,1.0,1.0
magnitude_pruning,"{""sparsity"": 0.7}",LIKELY_DERIVED,0.7522705574534378,0.7522705574534378,1.1681067362469646,0.8410181666489928,1.0,1.0
magnitude_pruning,"{""sparsity"": 0.9}",INCONCLUSIVE,0.5,0.40341327842736163,1.1681067362469646,0.4505655415910839,1.0,1.0
structured_pruning,"{""sparsity"": 0.3}",LIKELY_DERIVED,0.8845529318810671,0.8845529318810671,1.1681067362469646,0.9121611991128636,1.0,1.0
structured_pruning,"{""sparsity"": 0.5}",LIKELY_DERIVED,0.7718052633999761,0.7718052633999761,1.1681067362469646,0.7277102553255373,1.0,1.0
quantization,"{""bits"": 16}",DERIVED,0.9999999507366867,0.9999999507366867,1.1681067362469646,1.1680999628043427,1.0,1.0
quantization,"{""bits"": 8}",DERIVED,0.9999205642618971,0.9999205642618971,1.1681067362469646,1.1671908207608868,1.0,1.0
quantization,"{""bits"": 4}",DERIVED,0.9754348657290929,0.9754348657290929,1.1681067362469646,1.1302470654813723,1.0,1.0
fine_tuning,"{""epochs"": 5, ""lr"": 0.0001}",DERIVED,0.9998338913907739,0.9998338913907739,1.1681067362469646,1.1743858483673366,1.0,1.0
fine_tuning,"{""epochs"": 20, ""lr"": 0.0001}",DERIVED,0.9995132770467579,0.9995132770467579,1.1681067362469646,1.1666569849056423,1.0,1.0
fine_tuning,"{""epochs"": 50, ""lr"": 0.0001}",DERIVED,0.998661810652392,0.998661810652392,1.1681067362469646,1.1554771336280885,1.0,1.0
distillation,"{""epochs"": 100, ""student_seed"": 777}",NOT_DERIVED,1.0069018280809106,-0.0069018280809106216,1.1681067362469646,0.17479533746314724,1.0,0.5
independent_training,"{""seed"": 999}",NOT_DERIVED,0.9897561883406887,0.010243811659311325,1.1681067362469646,1.2381573631535747,1.0,1.0
