suspect,type,transform,true_parent,pred_diag,correct_diag,rank_diag,max_score_diag,pred_full,correct_full,rank_full,max_score_full
gpt2_noise0.01_s42,descendant,noise_0.01,gpt2,gpt2,True,1,0.99999356,gpt2,True,1,0.99993396
gpt2_noise0.01_s123,descendant,noise_0.01,gpt2,gpt2,True,1,0.99999315,gpt2,True,1,0.99993366
gpt2_noise0.05_s42,descendant,noise_0.05,gpt2,gpt2,True,1,0.99983984,gpt2,True,1,0.9983465
gpt2_noise0.05_s123,descendant,noise_0.05,gpt2,gpt2,True,1,0.9998291,gpt2,True,1,0.9983416
gpt2_noise0.1_s42,descendant,noise_0.1,gpt2,gpt2,True,1,0.99935704,gpt2,True,1,0.9934147
gpt2_noise0.1_s123,descendant,noise_0.1,gpt2,gpt2,True,1,0.9993132,gpt2,True,1,0.9933963
gpt2_noise0.2_s42,descendant,noise_0.2,gpt2,gpt2,True,1,0.9973989,gpt2,True,1,0.9741252
gpt2_noise0.2_s123,descendant,noise_0.2,gpt2,gpt2,True,1,0.9972169,gpt2,True,1,0.9740577
gpt2_noise0.3_s42,descendant,noise_0.3,gpt2,gpt2,True,1,0.99404997,gpt2,True,1,0.94345695
gpt2_noise0.3_s123,descendant,noise_0.3,gpt2,gpt2,True,1,0.993629,gpt2,True,1,0.9433215
distilgpt2_noise0.01_s42,descendant,noise_0.01,distilgpt2,distilgpt2,True,1,0.99998975,distilgpt2,True,1,0.9999115
distilgpt2_noise0.01_s123,descendant,noise_0.01,distilgpt2,distilgpt2,True,1,0.99999046,distilgpt2,True,1,0.9999115
distilgpt2_noise0.05_s42,descendant,noise_0.05,distilgpt2,distilgpt2,True,1,0.9997425,distilgpt2,True,1,0.9977911
distilgpt2_noise0.05_s123,descendant,noise_0.05,distilgpt2,distilgpt2,True,1,0.9997608,distilgpt2,True,1,0.9977893
distilgpt2_noise0.1_s42,descendant,noise_0.1,distilgpt2,distilgpt2,True,1,0.99896765,distilgpt2,True,1,0.99123144
distilgpt2_noise0.1_s123,descendant,noise_0.1,distilgpt2,distilgpt2,True,1,0.99904156,distilgpt2,True,1,0.9912216
distilgpt2_noise0.2_s42,descendant,noise_0.2,distilgpt2,distilgpt2,True,1,0.9958393,distilgpt2,True,1,0.9659476
distilgpt2_noise0.2_s123,descendant,noise_0.2,distilgpt2,distilgpt2,True,1,0.9961384,distilgpt2,True,1,0.96589524
distilgpt2_noise0.3_s42,descendant,noise_0.3,distilgpt2,distilgpt2,True,1,0.99053,distilgpt2,True,1,0.92687947
distilgpt2_noise0.3_s123,descendant,noise_0.3,distilgpt2,distilgpt2,True,1,0.9912074,distilgpt2,True,1,0.9267443
DialoGPT-small_noise0.01_s42,descendant,noise_0.01,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.99999243,microsoft/DialoGPT-small,True,1,0.9999364
DialoGPT-small_noise0.01_s123,descendant,noise_0.01,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.99999195,microsoft/DialoGPT-small,True,1,0.9999363
DialoGPT-small_noise0.05_s42,descendant,noise_0.05,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.9998112,microsoft/DialoGPT-small,True,1,0.998409
DialoGPT-small_noise0.05_s123,descendant,noise_0.05,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.9998004,microsoft/DialoGPT-small,True,1,0.998406
DialoGPT-small_noise0.1_s42,descendant,noise_0.1,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.999243,microsoft/DialoGPT-small,True,1,0.99366206
DialoGPT-small_noise0.1_s123,descendant,noise_0.1,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.9991986,microsoft/DialoGPT-small,True,1,0.99365044
DialoGPT-small_noise0.2_s42,descendant,noise_0.2,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.9969428,microsoft/DialoGPT-small,True,1,0.97506875
DialoGPT-small_noise0.2_s123,descendant,noise_0.2,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.9967601,microsoft/DialoGPT-small,True,1,0.9750349
DialoGPT-small_noise0.3_s42,descendant,noise_0.3,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.99301076,microsoft/DialoGPT-small,True,1,0.94542676
DialoGPT-small_noise0.3_s123,descendant,noise_0.3,microsoft/DialoGPT-small,microsoft/DialoGPT-small,True,1,0.9925987,microsoft/DialoGPT-small,True,1,0.945373
random_init_s0,random_init,none,,gpt2,False,-1,-0.012956277,microsoft/DialoGPT-small,False,-1,0.00024832189
random_init_s1,random_init,none,,gpt2,False,-1,0.0065485407,distilgpt2,False,-1,0.00064956717
random_init_s2,random_init,none,,distilgpt2,False,-1,0.024385244,distilgpt2,False,-1,0.00056375103
random_init_s3,random_init,none,,gpt2,False,-1,0.00069288164,gpt2,False,-1,0.00044875368
random_init_s4,random_init,none,,gpt2,False,-1,0.028363736,gpt2,False,-1,0.0010579141
