transform,param,method,top1,mrr,auroc,mean_true_score
fine_tune,10,diag_centered,1.0,1.0,1.0,0.9389328795540923
fine_tune,10,frobenius,1.0,1.0,1.0,-0.15696458677672162
fine_tune,10,raw_cosine,1.0,1.0,1.0,0.9997908437060825
fine_tune,10,raw_diagonal,1.0,1.0,1.0,0.999853133765054
fine_tune,50,diag_centered,1.0,1.0,1.0,0.9332232227922745
fine_tune,50,frobenius,1.0,1.0,1.0,-0.4390133631321234
fine_tune,50,raw_cosine,1.0,1.0,1.0,0.9983289778129312
fine_tune,50,raw_diagonal,1.0,1.0,1.0,0.9988433582550286
fine_tune,100,diag_centered,1.0,1.0,1.0,0.9279534519674939
fine_tune,100,frobenius,1.0,1.0,1.0,-0.6143928975979802
fine_tune,100,raw_cosine,1.0,1.0,1.0,0.9969410808363666
fine_tune,100,raw_diagonal,1.0,1.0,1.0,0.9977026283306267
fine_tune,200,diag_centered,1.0,1.0,1.0,0.9232357344233101
fine_tune,200,frobenius,1.0,1.0,1.0,-0.7737112678658755
fine_tune,200,raw_cosine,1.0,1.0,1.0,0.9953362267017389
fine_tune,200,raw_diagonal,1.0,1.0,1.0,0.9962002631487396
fine_tune,500,diag_centered,1.0,1.0,1.0,0.9214639365103976
fine_tune,500,frobenius,1.0,1.0,1.0,-0.8570901867028169
fine_tune,500,raw_cosine,1.0,1.0,1.0,0.9943177600636247
fine_tune,500,raw_diagonal,1.0,1.0,1.0,0.9952903198640453
fine_tune,1000,diag_centered,1.0,1.0,1.0,0.9236768869587074
fine_tune,1000,frobenius,1.0,1.0,1.0,-0.8838641574299082
fine_tune,1000,raw_cosine,1.0,1.0,1.0,0.9939505164851911
fine_tune,1000,raw_diagonal,1.0,1.0,1.0,0.995113236469243
prune,0.5,diag_centered,1.0,1.0,1.0,0.8337562547882028
prune,0.5,frobenius,1.0,1.0,1.0,-3.091475717345383
prune,0.5,raw_cosine,1.0,1.0,1.0,0.9231252433180372
prune,0.5,raw_diagonal,1.0,1.0,1.0,0.9380314608742385
prune,0.7,diag_centered,1.0,1.0,1.0,0.6629105293227506
prune,0.7,frobenius,1.0,1.0,1.0,-5.130769734594037
prune,0.7,raw_cosine,1.0,1.0,1.0,0.7705947874596701
prune,0.7,raw_diagonal,1.0,1.0,1.0,0.8138470361768585
prune,0.9,diag_centered,1.0,1.0,1.0,0.2885135921063847
prune,0.9,frobenius,1.0,1.0,1.0,-7.292961279445412
prune,0.9,raw_cosine,1.0,1.0,1.0,0.4244724697552297
prune,0.9,raw_diagonal,1.0,1.0,1.0,0.4669143421987926
prune,0.95,diag_centered,1.0,1.0,0.9,0.1676380068626328
prune,0.95,frobenius,1.0,1.0,1.0,-7.764767808246951
prune,0.95,raw_cosine,1.0,1.0,1.0,0.26552747843512564
prune,0.95,raw_diagonal,1.0,1.0,0.07,0.2934855023046687
prune,0.98,diag_centered,0.8,0.8833333333333332,0.52,0.08941620953841352
prune,0.98,frobenius,0.7,0.8333333333333333,1.0,-7.965837218691168
prune,0.98,raw_cosine,1.0,1.0,1.0,0.1442607538969633
prune,0.98,raw_diagonal,0.8,0.8833333333333332,0.0,0.10482051835476991
prune,0.99,diag_centered,0.5,0.6194444444444445,0.04,0.028239790601271537
prune,0.99,frobenius,0.2,0.42928571428571427,1.0,-8.019918380528994
prune,0.99,raw_cosine,1.0,1.0,1.0,0.08365059845685062
prune,0.99,raw_diagonal,0.5,0.6194444444444445,0.0,0.03499371987814119
prune,0.995,diag_centered,0.2,0.95,0.0,0.0038775261448245855
prune,0.995,frobenius,0.1,0.32833333333333337,1.0,-8.04059415784555
prune,0.995,raw_cosine,1.0,1.0,0.52,0.03899713717134981
prune,0.995,raw_diagonal,0.2,0.9333333333333332,0.0,0.004201268626838729
noise,0.1,diag_centered,1.0,1.0,1.0,0.9215615967678052
noise,0.1,frobenius,1.0,1.0,1.0,-1.1882618804207041
noise,0.1,raw_cosine,1.0,1.0,1.0,0.9892321157336544
noise,0.1,raw_diagonal,1.0,1.0,1.0,0.991797141841406
noise,0.5,diag_centered,1.0,1.0,1.0,0.6824151409164442
noise,0.5,frobenius,1.0,1.0,1.0,-6.291737433614262
noise,0.5,raw_cosine,1.0,1.0,1.0,0.7865118627537869
noise,0.5,raw_diagonal,1.0,1.0,1.0,0.8267883343734155
noise,1.0,diag_centered,1.0,1.0,1.0,0.3550413155171445
noise,1.0,frobenius,1.0,1.0,0.0,-14.52924318349135
noise,1.0,raw_cosine,1.0,1.0,1.0,0.4826035288890824
noise,1.0,raw_diagonal,1.0,1.0,1.0,0.5433792870832324
noise,2.0,diag_centered,0.9,0.95,0.58,0.11429102319964804
noise,2.0,frobenius,1.0,1.0,0.0,-41.03928342101054
noise,2.0,raw_cosine,1.0,1.0,1.0,0.1923329956449638
noise,2.0,raw_diagonal,1.0,1.0,0.0,0.23204588387807967
noise,3.0,diag_centered,0.4,0.62,0.36,0.058301145668758804
noise,3.0,frobenius,1.0,1.0,0.0,-83.26236747085224
noise,3.0,raw_cosine,1.0,1.0,1.0,0.09745982472770567
noise,3.0,raw_diagonal,0.6,0.775,0.0,0.1250345840069059
noise,5.0,diag_centered,0.1,0.36083333333333334,0.2,0.027609736083403863
noise,5.0,frobenius,1.0,1.0,0.0,-217.17403703639314
noise,5.0,raw_cosine,1.0,1.0,0.56,0.03951736007254998
noise,5.0,raw_diagonal,0.3,0.48345238095238097,0.0,0.059429528231690634
quantize,16,diag_centered,1.0,1.0,1.0,0.9402958969511495
quantize,16,frobenius,1.0,1.0,1.0,-0.0024488281370111044
quantize,16,raw_cosine,1.0,1.0,1.0,0.9999999537109618
quantize,16,raw_diagonal,1.0,1.0,1.0,0.9999999647192169
quantize,8,diag_centered,1.0,1.0,1.0,0.939578334759684
quantize,8,frobenius,1.0,1.0,1.0,-0.0928949905322475
quantize,8,raw_cosine,1.0,1.0,1.0,0.9999330931893107
quantize,8,raw_diagonal,1.0,1.0,1.0,0.9999495158415048
quantize,4,diag_centered,1.0,1.0,1.0,0.9062915874481543
quantize,4,frobenius,1.0,1.0,1.0,-1.6893573616161988
quantize,4,raw_cosine,1.0,1.0,1.0,0.9785933195140147
quantize,4,raw_diagonal,1.0,1.0,1.0,0.9838881522377004
quantize,2,diag_centered,1.0,1.0,1.0,0.23206399143810774
quantize,2,frobenius,1.0,1.0,1.0,-9.178173388057939
quantize,2,raw_cosine,1.0,1.0,1.0,0.3686326707676847
quantize,2,raw_diagonal,1.0,1.0,0.74,0.39537807509577516
quantize,1,diag_centered,0.1,1.0,0.0,nan
quantize,1,frobenius,0.1,1.0,0.0,nan
quantize,1,raw_cosine,0.1,1.0,0.0,0.0
quantize,1,raw_diagonal,0.1,1.0,0.0,0.0
