method,variant,AUROC,mean_related,min_related,mean_unrelated,max_unrelated,latency_ms
diagonal_dominance,none,1.0000,0.371297,0.209346,0.029582,0.042727,0.414
diagonal_dominance,P,1.0000,0.371297,0.209346,0.029582,0.042727,0.414
diagonal_dominance,D-mild,1.0000,0.371297,0.209346,0.029582,0.042727,0.414
diagonal_dominance,D-strong,1.0000,0.371297,0.209346,0.029582,0.042727,0.414
diagonal_dominance,PD,1.0000,0.371297,0.209346,0.029582,0.042727,0.414
diagonal_dominance,PDFT,1.0000,0.366919,0.208349,0.029582,0.042727,0.414
raw_aligned_frobenius,none,1.0000,-0.063816,-0.155711,-1.370706,-1.356284,1.317
raw_aligned_frobenius,P,0.4955,-1.371044,-1.379698,-1.370706,-1.356284,1.317
raw_aligned_frobenius,D-mild,1.0000,-0.438263,-0.460786,-1.370706,-1.356284,1.317
raw_aligned_frobenius,D-strong,0.0000,-2.685302,-2.802614,-1.370706,-1.356284,1.317
raw_aligned_frobenius,PD,0.0000,-3.329992,-3.459680,-1.370706,-1.356284,1.317
raw_aligned_frobenius,PDFT,0.0000,-3.329850,-3.459529,-1.370706,-1.356284,1.317
raw_singular_value_dist,none,1.0000,-0.004913,-0.011438,-0.021866,-0.020270,2.650
raw_singular_value_dist,P,1.0000,-0.004913,-0.011438,-0.021866,-0.020270,2.650
raw_singular_value_dist,D-mild,0.0000,-0.086306,-0.093978,-0.021866,-0.020270,2.650
raw_singular_value_dist,D-strong,0.0000,-1.089276,-1.156885,-0.021866,-0.020270,2.650
raw_singular_value_dist,PD,0.0000,-1.092140,-1.159954,-0.021866,-0.020270,2.650
raw_singular_value_dist,PDFT,0.0000,-1.092119,-1.159904,-0.021866,-0.020270,2.650
raw_weight_cosine,none,1.0000,0.996039,0.987775,0.054922,0.059791,1.534
raw_weight_cosine,P,0.8561,0.059589,0.055099,0.054922,0.059791,1.534
raw_weight_cosine,D-mild,1.0000,0.928822,0.918964,0.054922,0.059791,1.534
raw_weight_cosine,D-strong,1.0000,0.655385,0.647046,0.054922,0.059791,1.534
raw_weight_cosine,PD,0.8045,0.058989,0.051790,0.054922,0.059791,1.534
raw_weight_cosine,PDFT,0.8045,0.058997,0.051782,0.054922,0.059791,1.534
rebasin_scale_frobenius,none,1.0000,-0.062866,-0.156210,-2.009477,-1.559926,0.796
rebasin_scale_frobenius,P,1.0000,-0.062866,-0.156210,-2.009477,-1.559926,0.796
rebasin_scale_frobenius,D-mild,1.0000,-0.062866,-0.156210,-2.009477,-1.559926,0.796
rebasin_scale_frobenius,D-strong,1.0000,-0.062866,-0.156210,-2.009477,-1.559926,0.796
rebasin_scale_frobenius,PD,1.0000,-0.062866,-0.156210,-2.009477,-1.559926,0.796
rebasin_scale_frobenius,PDFT,1.0000,-0.074323,-0.165260,-2.009477,-1.559926,0.796
