measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,measurement_18,measurement_19,measurement_20,measurement_21,measurement_22,measurement_23,measurement_24,measurement_25,measurement_26,measurement_27,measurement_28,measurement_29,measurement_30,measurement_31,measurement_32,measurement_33,measurement_34,measurement_35,measurement_36,measurement_37,measurement_38,measurement_39,measurement_40,measurement_41,measurement_42,measurement_43,measurement_44,measurement_45,measurement_46,measurement_47,pred,true
-0.8719341,-0.7622249,-0.75792944,-0.7210839,1.0288343,0.43889618,-0.5884058,0.50606877,0.9758817,-0.13553937,0.8955993,0.24992663,-0.85340047,1.4763924,-0.9706255,-0.93548083,-0.8163682,-0.98085195,-0.66705674,-0.7080254,1.3207552,-0.6324162,-1.0753484,-0.99042726,-0.8081188,-0.663257,-0.78794944,-0.8237422,-0.7413933,-0.8459196,0.8419848,1.7881848,-0.7304386,-0.9172749,-0.8119448,-0.70820147,-0.15064193,-0.8962843,-0.8205115,-0.8761902,-0.7605059,-0.85574836,-0.7107926,-0.7058681,-0.8482388,-0.92488396,-0.7464221,-0.49414694,-1.5033363,-1.3733312021922763
-0.8964387,-0.79707247,-0.838245,-0.7022226,-0.33925593,0.27502987,0.63305694,0.8062091,1.1279103,1.0086677,1.1086752,1.0107371,0.8171226,1.2131608,0.20015216,-0.7632684,0.32243848,-0.4125766,-0.83578396,-0.79385847,-0.62663996,-0.86706924,-1.0270288,0.6834155,-0.7401152,-0.7022553,0.091894865,-0.7218043,-0.5464708,-0.70500916,-0.43178505,-0.5831694,-0.55742973,0.59613174,-0.29469743,-0.5132503,-0.5153842,0.6734473,0.1830098,0.62991226,0.6531616,0.98169523,0.84549624,0.61386085,0.82890135,0.99312097,-0.18946953,-0.69422734,0.13436955,0.769000340390481
1.5858343,1.3948027,0.79778403,0.9151316,1.0949826,-0.19065839,-0.6524458,1.2927445,0.55328953,-0.826261,-0.77184397,-0.1673401,-1.0285293,1.4307016,-0.8922379,-0.52231234,-0.7284824,-0.9041225,-0.7760748,-0.90601146,0.30491385,-0.8083334,-1.0857459,-0.90935534,-0.8025683,-0.91200477,-0.9018832,-0.76317394,-0.73245764,-0.96738136,-0.2672003,1.6333042,0.3813201,-0.8955707,-0.98333466,-0.8167107,1.3489566,-0.84716946,-0.94645774,-0.3728842,0.9372035,0.9845628,0.73250055,0.8221125,0.9712547,0.78042424,1.0542041,1.2993292,-1.4985034,-1.554864789977396
-0.81473047,1.8627723,0.6599886,-0.38881895,1.0175583,1.0422577,-0.21399224,1.7370257,-0.81646395,-0.96682703,1.2909365,-0.7510774,-0.8479308,-0.69728714,-0.76580745,-0.84454423,-0.71415263,-0.78703237,0.50690246,-0.8872886,-0.7076386,-0.5495083,0.5928252,0.8032536,-0.27270088,-0.67327857,0.4709461,-0.50803113,1.0957445,0.081177115,-0.48130533,-0.49427047,-0.68310755,-0.7472074,0.2772992,-0.5539768,-0.73094875,-0.8321211,-0.9594479,-0.9456012,-0.71050555,-0.8331447,-0.797857,-0.767712,-0.57748157,-0.64039755,-0.76667607,1.4017435,-0.28162163,-0.5577102526052586
-0.5971389,0.3700888,-0.9067544,-0.33199546,-0.7647241,-0.68195397,0.41213393,1.5836314,0.7410602,0.717198,0.7089997,0.12528904,-0.86517894,1.5154043,-0.76857835,-0.4362852,-0.6713579,-0.9654503,-0.27277845,-0.842106,1.3832743,0.89733386,0.53257394,0.8590869,0.40894696,0.7138656,0.7294021,0.21419871,0.6147111,-0.34460893,-0.55231667,-0.5750647,-0.8462049,-0.41135174,0.81949943,-0.5880173,-0.56301177,-0.9744955,-0.6705459,-0.90836984,-0.6640834,-0.55247056,-0.84328824,-0.8199151,-0.80480164,-0.9123992,-0.25978425,1.4636773,-0.01126793,-0.18050007590058373
-0.7610069,0.018049736,0.32359314,-0.57952976,1.175175,1.0519317,-0.011317463,0.20096149,-0.3046223,0.82844156,1.1158302,-0.84466404,0.88636994,1.5717682,0.5864008,-0.96825325,-0.8443912,-1.1034069,0.085608795,-1.1073059,1.2406243,-0.7394419,-0.90640473,-0.8880264,-0.6370573,-0.84505576,0.9303064,1.2091447,0.8185446,1.2880317,1.7630204,1.6663296,1.2176478,-1.0195363,1.0367151,1.5528408,1.40802,-0.9162124,-0.027274244,0.31085572,1.0774523,1.1404421,0.8901033,0.9036369,0.96629554,0.9817442,1.0179645,1.5018975,-1.3330225,-1.432268827819098
-0.6453778,-0.6413388,-0.8473048,-0.7850012,-0.89413476,-0.880418,1.7647113,-0.5905489,-0.69082505,0.8487709,0.28311378,-0.35202727,0.58440757,-0.59909755,0.23774369,-0.81899136,0.817331,0.26334038,-0.89804065,0.8343339,0.34875703,0.8004825,0.6706047,0.77738094,-0.6301321,-0.8343113,0.8874826,0.5387219,0.92421454,0.9603598,-0.60706013,-0.5747893,-0.7709993,-0.92654896,0.7333967,-0.58185476,-0.52181315,-0.94578475,0.30400965,0.16083647,1.2691956,1.0711191,0.85595596,0.91797876,0.98195404,0.8634864,0.22835867,-0.7391199,0.18808204,0.15110232223853537
2.1854482,-0.45516655,0.12075,-0.7434991,1.1525679,1.0625755,-0.43556118,-0.555379,0.2443979,-0.82363516,-0.5464836,0.4070721,0.8036656,-0.75134754,-0.7221916,-1.1574582,0.8246098,0.20217411,-0.96696466,0.8379101,-0.7118702,1.0984625,-0.3644097,0.50232184,0.96799946,0.7185901,0.74810076,0.9427636,0.7316137,1.0804698,-0.3023112,-0.5971573,0.9720256,0.51780045,0.592194,0.40428165,0.30959567,0.593847,0.69905114,0.7839813,-0.49471143,-0.04329223,0.5915832,0.4377283,-0.73930013,-0.9677418,-0.8919245,-0.5983876,0.50891966,0.456415036741495
-0.63483065,-0.6579253,-0.82838213,-0.6277669,-0.70380944,-1.0429689,-0.73698294,-0.7833118,0.95189273,0.37255543,-0.7638781,0.936367,-1.014369,-0.7781086,-0.81166077,0.5858047,0.54774344,-0.83030957,0.42760307,-0.8008157,1.2485293,0.9605611,0.69432074,0.6731916,-0.13642828,0.23914972,0.3887116,-0.7262753,-0.74144673,-0.68972,-0.6686045,-0.62169653,-0.5730666,0.19611818,-0.5559364,-0.6215009,-0.6043826,-1.0343201,0.42087018,-0.93547213,-0.5397118,-0.78878087,-0.84818846,-0.87822974,-0.7444127,-0.77372056,0.6364933,-0.38328254,-0.1364856,-0.22624704857884176
1.0970614,-0.6465501,1.1012536,-0.72169626,0.8134514,1.1017939,-0.64214885,-0.41386807,-0.4186001,0.95286155,-0.5934477,0.26906216,0.082703486,-0.74329543,-0.8268104,-0.15379538,0.8498745,-0.4272553,0.6068041,0.77693456,-0.83617574,-0.73102534,0.7456692,0.14230256,-1.0002908,-0.2849772,0.29014352,-0.96881986,0.27276248,-0.69066435,-0.47823521,-0.48397127,-0.5804694,-0.86517453,0.7406807,-0.7209337,-0.7174911,-0.96055067,-0.8980802,-0.9467064,-0.8497436,-0.28427097,0.80866563,-0.51073205,0.9015237,0.8069062,1.2603647,-0.4684144,1.1789387,1.1339668605118456
