method,variant,seed,AUROC
ours,clean,0,1.000000
ours,clean,1,1.000000
ours,clean,2,1.000000
ours,clean,3,1.000000
ours,clean,4,1.000000
ours,clean,mean,1.000000
ours,clean,std,0.000000
ours,global_p,0,0.433333
ours,global_p,1,0.393939
ours,global_p,2,0.434848
ours,global_p,3,0.457576
ours,global_p,4,0.378788
ours,global_p,mean,0.419697
ours,global_p,std,0.028939
ours,global_p_recovery,0,1.000000
ours,global_p_recovery,1,1.000000
ours,global_p_recovery,2,1.000000
ours,global_p_recovery,3,1.000000
ours,global_p_recovery,4,1.000000
ours,global_p_recovery,mean,1.000000
ours,global_p_recovery,std,0.000000
rebasin_scale,clean,0,1.000000
rebasin_scale,clean,1,1.000000
rebasin_scale,clean,2,1.000000
rebasin_scale,clean,3,1.000000
rebasin_scale,clean,4,1.000000
rebasin_scale,clean,mean,1.000000
rebasin_scale,clean,std,0.000000
rebasin_scale,global_p,0,0.595455
rebasin_scale,global_p,1,0.630303
rebasin_scale,global_p,2,0.565152
rebasin_scale,global_p,3,0.607576
rebasin_scale,global_p,4,0.566667
rebasin_scale,global_p,mean,0.593030
rebasin_scale,global_p,std,0.024815
rebasin_scale,global_p_recovery,0,1.000000
rebasin_scale,global_p_recovery,1,1.000000
rebasin_scale,global_p_recovery,2,1.000000
rebasin_scale,global_p_recovery,3,1.000000
rebasin_scale,global_p_recovery,4,1.000000
rebasin_scale,global_p_recovery,mean,1.000000
rebasin_scale,global_p_recovery,std,0.000000
raw_aligned_frobenius,clean,0,1.000000
raw_aligned_frobenius,clean,1,1.000000
raw_aligned_frobenius,clean,2,1.000000
raw_aligned_frobenius,clean,3,1.000000
raw_aligned_frobenius,clean,4,1.000000
raw_aligned_frobenius,clean,mean,1.000000
raw_aligned_frobenius,clean,std,0.000000
raw_aligned_frobenius,global_p,0,0.842424
raw_aligned_frobenius,global_p,1,0.874242
raw_aligned_frobenius,global_p,2,0.851515
raw_aligned_frobenius,global_p,3,0.881818
raw_aligned_frobenius,global_p,4,0.827273
raw_aligned_frobenius,global_p,mean,0.855455
raw_aligned_frobenius,global_p,std,0.020137
raw_aligned_frobenius,global_p_recovery,0,1.000000
raw_aligned_frobenius,global_p_recovery,1,1.000000
raw_aligned_frobenius,global_p_recovery,2,1.000000
raw_aligned_frobenius,global_p_recovery,3,1.000000
raw_aligned_frobenius,global_p_recovery,4,1.000000
raw_aligned_frobenius,global_p_recovery,mean,1.000000
raw_aligned_frobenius,global_p_recovery,std,0.000000
raw_singular_value_dist,clean,0,1.000000
raw_singular_value_dist,clean,1,1.000000
raw_singular_value_dist,clean,2,1.000000
raw_singular_value_dist,clean,3,1.000000
raw_singular_value_dist,clean,4,1.000000
raw_singular_value_dist,clean,mean,1.000000
raw_singular_value_dist,clean,std,0.000000
raw_singular_value_dist,global_p,0,1.000000
raw_singular_value_dist,global_p,1,1.000000
raw_singular_value_dist,global_p,2,1.000000
raw_singular_value_dist,global_p,3,1.000000
raw_singular_value_dist,global_p,4,1.000000
raw_singular_value_dist,global_p,mean,1.000000
raw_singular_value_dist,global_p,std,0.000000
raw_singular_value_dist,global_p_recovery,0,1.000000
raw_singular_value_dist,global_p_recovery,1,1.000000
raw_singular_value_dist,global_p_recovery,2,1.000000
raw_singular_value_dist,global_p_recovery,3,1.000000
raw_singular_value_dist,global_p_recovery,4,1.000000
raw_singular_value_dist,global_p_recovery,mean,1.000000
raw_singular_value_dist,global_p_recovery,std,0.000000
raw_weight_cosine,clean,0,1.000000
raw_weight_cosine,clean,1,1.000000
raw_weight_cosine,clean,2,1.000000
raw_weight_cosine,clean,3,1.000000
raw_weight_cosine,clean,4,1.000000
raw_weight_cosine,clean,mean,1.000000
raw_weight_cosine,clean,std,0.000000
raw_weight_cosine,global_p,0,0.960606
raw_weight_cosine,global_p,1,1.000000
raw_weight_cosine,global_p,2,0.986364
raw_weight_cosine,global_p,3,0.993939
raw_weight_cosine,global_p,4,0.960606
raw_weight_cosine,global_p,mean,0.980303
raw_weight_cosine,global_p,std,0.016653
raw_weight_cosine,global_p_recovery,0,1.000000
raw_weight_cosine,global_p_recovery,1,1.000000
raw_weight_cosine,global_p_recovery,2,1.000000
raw_weight_cosine,global_p_recovery,3,1.000000
raw_weight_cosine,global_p_recovery,4,1.000000
raw_weight_cosine,global_p_recovery,mean,1.000000
raw_weight_cosine,global_p_recovery,std,0.000000
