method,variant,AUROC,mean_related,min_related,mean_unrelated,max_unrelated,n_pairs
diagonal_dominance,none,1.000000,0.371297,0.209346,0.029582,0.042727,52
diagonal_dominance,P,1.000000,0.371297,0.209346,0.029582,0.042727,52
diagonal_dominance,D-mild,1.000000,0.371297,0.209346,0.029582,0.042727,52
diagonal_dominance,D-strong,1.000000,0.371297,0.209346,0.029582,0.042727,52
diagonal_dominance,PD,1.000000,0.371297,0.209346,0.029582,0.042727,52
diagonal_dominance,PDFT,1.000000,0.366941,0.208349,0.029582,0.042727,52
raw_aligned_frobenius,none,1.000000,-0.063816,-0.155711,-1.370706,-1.356284,52
raw_aligned_frobenius,P,0.495455,-1.371044,-1.379698,-1.370706,-1.356284,52
raw_aligned_frobenius,D-mild,1.000000,-0.438263,-0.460786,-1.370706,-1.356284,52
raw_aligned_frobenius,D-strong,0.000000,-2.685302,-2.802614,-1.370706,-1.356284,52
raw_aligned_frobenius,PD,0.000000,-3.329992,-3.459680,-1.370706,-1.356284,52
raw_aligned_frobenius,PDFT,0.000000,-3.329847,-3.459529,-1.370706,-1.356284,52
raw_singular_value_dist,none,1.000000,-0.004913,-0.011438,-0.021866,-0.020270,52
raw_singular_value_dist,P,1.000000,-0.004913,-0.011438,-0.021866,-0.020270,52
raw_singular_value_dist,D-mild,0.000000,-0.086306,-0.093978,-0.021866,-0.020270,52
raw_singular_value_dist,D-strong,0.000000,-1.089276,-1.156885,-0.021866,-0.020270,52
raw_singular_value_dist,PD,0.000000,-1.092140,-1.159954,-0.021866,-0.020270,52
raw_singular_value_dist,PDFT,0.000000,-1.092118,-1.159904,-0.021866,-0.020270,52
raw_weight_cosine,none,1.000000,0.996039,0.987775,0.054922,0.059791,52
raw_weight_cosine,P,0.856061,0.059589,0.055099,0.054922,0.059791,52
raw_weight_cosine,D-mild,1.000000,0.928822,0.918964,0.054922,0.059791,52
raw_weight_cosine,D-strong,1.000000,0.655385,0.647046,0.054922,0.059791,52
raw_weight_cosine,PD,0.804545,0.058989,0.051790,0.054922,0.059791,52
raw_weight_cosine,PDFT,0.804545,0.058997,0.051782,0.054922,0.059791,52
cka,none,0.846970,0.949665,0.672971,0.820761,0.854015,52
cka,P,0.846970,0.949665,0.672971,0.820761,0.854015,52
cka,D-mild,0.846970,0.949665,0.672971,0.820761,0.854015,52
cka,D-strong,0.846970,0.949665,0.672971,0.820761,0.854015,52
cka,PD,0.846970,0.949665,0.672971,0.820761,0.854015,52
cka,PDFT,0.993939,0.976850,0.848270,0.820761,0.854015,52
svcca,none,1.000000,0.989241,0.948187,0.882389,0.889253,52
svcca,P,1.000000,0.989241,0.948187,0.882389,0.889253,52
