,pythia-160m,pythia-160m-alldropout,pythia-160m-attndropout,pythia-160m-data-seed1,pythia-160m-data-seed2,pythia-160m-data-seed3,pythia-160m-deduped,pythia-160m-deduped-v0,pythia-160m-hiddendropout,pythia-160m-seed1,pythia-160m-seed2,pythia-160m-seed3,pythia-160m-seed4,pythia-160m-seed5,pythia-160m-seed6,pythia-160m-seed7,pythia-160m-seed8,pythia-160m-seed9,pythia-160m-v0,pythia-160m-weight-seed1,pythia-160m-weight-seed2,pythia-160m-weight-seed3
pythia-160m,1.000000,0.072408,0.215102,0.225620,0.187813,0.230041,0.188699,0.125441,0.072955,0.000535,0.000013,0.000123,0.000356,0.000237,0.000162,0.000269,0.000293,0.000896,0.145703,0.249624,0.253063,0.251599
pythia-160m-alldropout,0.072408,1.000000,0.096632,0.079761,0.047074,0.082284,0.072759,0.082633,0.361307,0.001762,0.000181,0.000134,-0.000234,0.000136,-0.000317,0.000062,0.000020,0.000074,0.088639,0.063834,0.082633,0.069316
pythia-160m-attndropout,0.215102,0.096632,1.000000,0.215037,0.145116,0.229617,0.180237,0.116338,0.093329,0.000254,0.000078,-0.000262,0.000965,0.000531,0.000542,0.000379,0.000250,0.000973,0.149465,0.193266,0.239636,0.210799
pythia-160m-data-seed1,0.225620,0.079761,0.215037,1.000000,0.207667,0.257501,0.206563,0.136258,0.079406,0.000986,0.000951,0.000426,0.000591,-0.000048,0.000020,0.000534,-0.000172,0.000063,0.161070,0.235777,0.254930,0.235596
pythia-160m-data-seed2,0.187813,0.047074,0.145116,0.207667,1.000000,0.200587,0.169037,0.121335,0.045172,0.000752,0.000189,0.000459,0.000155,0.000344,0.000113,0.000384,0.000162,0.000563,0.120057,0.211469,0.192751,0.195017
pythia-160m-data-seed3,0.230041,0.082284,0.229617,0.257501,0.200587,1.000000,0.203761,0.133112,0.080794,0.000471,0.000661,0.000340,-0.000141,0.000838,0.000095,0.000044,0.000324,0.000850,0.154013,0.228441,0.262719,0.238961
pythia-160m-deduped,0.188699,0.072759,0.180237,0.206563,0.169037,0.203761,1.000000,0.146259,0.074900,0.000281,0.000756,0.000486,-0.000309,0.000297,0.000231,0.000209,0.000895,0.001208,0.140284,0.191614,0.200466,0.191188
pythia-160m-deduped-v0,0.125441,0.082633,0.116338,0.136258,0.121335,0.133112,0.146259,1.000000,0.078530,0.001309,0.000613,-0.000271,0.000242,0.001087,0.000008,-0.000228,0.000228,0.000795,0.186339,0.123627,0.134511,0.135450
pythia-160m-hiddendropout,0.072955,0.361307,0.093329,0.079406,0.045172,0.080794,0.074900,0.078530,1.000000,0.000392,-0.000112,0.000034,-0.000537,0.000486,-0.000128,0.000607,0.000363,0.000444,0.089082,0.064670,0.083963,0.069951
pythia-160m-seed1,0.000535,0.001762,0.000254,0.000986,0.000752,0.000471,0.000281,0.001309,0.000392,1.000000,0.000228,0.000499,0.000109,-0.000476,-0.000166,-0.000187,0.000105,0.000033,0.000114,0.000778,0.000778,0.000411
